richardSS(mess),embSS,year,sample,occupied,region,wetland
Y:253:7:SE,Y-253-7-SE,2017,1,1,east,NA
Y:253:7:SE,Y-253-7-SE,2018,1,0,east,NA
Y:253:7:SE,Y-253-7-SE,2019,1,0,east,NA
Y:7:253:SE,Y-253-7-SE,2021,1,1,east,
Y:253:7:SW,Y-253-7-SW,2015,1,0,east,NA
Y:253:7:SW,Y-253-7-SW,2016,1,0,east,NA
Y:253:7:SW,Y-253-7-SW,2017,1,0,east,NA
Y:253:7:SW,Y-253-7-SW,2018,1,0,east,NA
Y:253:7:SW,Y-253-7-SW,2019,1,0,east,NA
Y:257:15:CT,Y-257-15-CT,2013,1,1,unmineable,Grazing Lease 820577
Y:257:15:CT,Y-257-15-CT,2014,1,1,unmineable,Grazing Lease 820577
Y:257:15:CT,Y-257-15-CT,2015,1,1,unmineable,Grazing Lease 820577
Y:257:15:CT,Y-257-15-CT,2016,1,1,unmineable,Grazing Lease 820577
Y:257:15:CT,Y-257-15-CT,2019,1,1,unmineable,Grazing Lease 820577
Y:257:15:NE,Y-257-15-NE,2013,1,1,unmineable,Grazing Lease 820577
