project,organization,location,recording_date,recording_time,latitude,longitude,YERAobs,long4,lat4,datetime,syear,sdoy,shod,stod,long3,lat3,numyears,region
Bayne-OSM-YERA-2021,BU,Y-55-475-A,2021-07-09,0:40:00,55.88042,-113.8815,0,-113.8815,55.8804,2021-07-09 0:40,2021,190,0,0.6666667,-113.882,55.88,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-55-474-A,2021-07-09,1:40:00,55.95309,-113.8985,0,-113.8985,55.9531,2021-07-09 1:40,2021,190,1,1.666667,-113.898,55.953,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-55-474-D,2021-07-09,1:20:00,55.95538,-113.9053,0,-113.9053,55.9554,2021-07-09 1:20,2021,190,1,1.333333,-113.905,55.955,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-3-208-NW,2021-07-09,2:20:00,54.72111,-110.5513,0,-110.5513,54.7211,2021-07-09 2:20,2021,190,2,2.333333,-110.551,54.721,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-4-212-CT,2021-06-22,1:20:00,54.62856,-110.4218,0,-110.4218,54.6286,2021-06-22 1:20,2021,173,1,1.333333,-110.422,54.629,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-18-376-A,2021-07-09,0:00:00,54.69197,-110.7686,0,-110.7686,54.692,2021-07-09 0:00,2021,190,0,0,-110.769,54.692,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-2-204-CT,2021-07-08,0:40:00,54.68429,-110.7701,0,-110.7701,54.6843,2021-07-08 0:40,2021,189,0,0.6666667,-110.77,54.684,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-1-203-B,2021-07-09,1:20:00,54.68077,-110.704,1,-110.704,54.6808,2021-07-09 1:20,2021,190,1,1.333333,-110.704,54.681,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-55-474-B,2021-07-09,1:40:00,55.95718,-113.8944,0,-113.8944,55.9572,2021-07-09 1:40,2021,190,1,1.666667,-113.894,55.957,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-55-474-A,2021-07-09,2:00:00,55.95309,-113.8985,0,-113.8985,55.9531,2021-07-09 2:00,2021,190,2,2,-113.898,55.953,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-18-376-A,2021-07-09,0:20:00,54.69197,-110.7686,0,-110.7686,54.692,2021-07-09 0:20,2021,190,0,0.3333333,-110.769,54.692,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-18-376-C,2021-07-09,1:40:00,54.68715,-110.7768,0,-110.7768,54.6871,2021-07-09 1:40,2021,190,1,1.666667,-110.777,54.687,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-1-203-B,2021-07-09,2:20:00,54.68077,-110.704,0,-110.704,54.6808,2021-07-09 2:20,2021,190,2,2.333333,-110.704,54.681,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-55-474-D,2021-07-09,0:00:00,55.95538,-113.9053,0,-113.9053,55.9554,2021-07-09 0:00,2021,190,0,0,-113.905,55.955,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-55-475-B,2021-07-09,0:20:00,55.88527,-113.874,0,-113.874,55.8853,2021-07-09 0:20,2021,190,0,0.3333333,-113.874,55.885,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-1-203-A,2021-07-09,0:40:00,54.67455,-110.7035,0,-110.7035,54.6745,2021-07-09 0:40,2021,190,0,0.6666667,-110.703,54.675,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-55-475-B,2021-07-09,1:00:00,55.88527,-113.874,0,-113.874,55.8853,2021-07-09 1:00,2021,190,1,1,-113.874,55.885,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-1-207-D,2021-06-16,2:40:00,54.62194,-110.7647,0,-110.7647,54.6219,2021-06-16 2:40,2021,167,2,2.666667,-110.765,54.622,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-55-474-B,2021-07-09,2:40:00,55.95718,-113.8944,0,-113.8944,55.9572,2021-07-09 2:40,2021,190,2,2.666667,-113.894,55.957,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-55-474-A,2021-07-09,2:40:00,55.95309,-113.8985,0,-113.8985,55.9531,2021-07-09 2:40,2021,190,2,2.666667,-113.898,55.953,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-18-376-A,2021-07-08,0:40:00,54.69197,-110.7686,0,-110.7686,54.692,2021-07-08 0:40,2021,189,0,0.6666667,-110.769,54.692,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-3-208-CT,2021-07-09,0:20:00,54.71886,-110.5564,0,-110.5564,54.7189,2021-07-09 0:20,2021,190,0,0.3333333,-110.556,54.719,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-1-207-D,2021-06-13,1:20:00,54.62194,-110.7647,0,-110.7647,54.6219,2021-06-13 1:20,2021,164,1,1.333333,-110.765,54.622,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-1-207-D,2021-06-18,2:20:00,54.62194,-110.7647,0,-110.7647,54.6219,2021-06-18 2:20,2021,169,2,2.333333,-110.765,54.622,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-3-210-CT,2021-06-22,0:00:00,54.69072,-110.5179,1,-110.5179,54.6907,2021-06-22 0:00,2021,173,0,0,-110.518,54.691,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-1-207-D,2021-06-14,1:00:00,54.62194,-110.7647,0,-110.7647,54.6219,2021-06-14 1:00,2021,165,1,1,-110.765,54.622,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-1-203-B,2021-07-09,2:00:00,54.68077,-110.704,0,-110.704,54.6808,2021-07-09 2:00,2021,190,2,2,-110.704,54.681,2,UNMINEABLE
